2025-01-22 15:29:38,837 Epoch: [1][0/238]	Time 4.657 (4.657)	Data 0.019 (0.019)	Loss 1.8640 (1.8640)	Prec@1 21.875 (21.875)	Prec@3 62.500 (62.500)	
2025-01-22 15:29:40,081 Epoch: [1][10/238]	Time 0.081 (0.528)	Data 0.009 (0.010)	Loss 0.8091 (1.3366)	Prec@1 62.500 (42.188)	Prec@3 84.375 (73.438)	
2025-01-22 15:29:41,020 Epoch: [1][20/238]	Time 0.079 (0.317)	Data 0.009 (0.009)	Loss 0.4914 (1.0549)	Prec@1 65.625 (50.000)	Prec@3 87.500 (78.125)	
2025-01-22 15:29:41,929 Epoch: [1][30/238]	Time 0.082 (0.241)	Data 0.009 (0.009)	Loss 0.3674 (0.8830)	Prec@1 65.625 (53.906)	Prec@3 96.875 (82.812)	
2025-01-22 15:29:42,832 Epoch: [1][40/238]	Time 0.080 (0.202)	Data 0.009 (0.009)	Loss 0.3823 (0.7828)	Prec@1 62.500 (55.625)	Prec@3 96.875 (85.625)	
2025-01-22 15:29:43,824 Epoch: [1][50/238]	Time 0.080 (0.180)	Data 0.009 (0.009)	Loss 0.4192 (0.7222)	Prec@1 62.500 (56.771)	Prec@3 100.000 (88.021)	
2025-01-22 15:29:44,739 Epoch: [1][60/238]	Time 0.082 (0.164)	Data 0.009 (0.009)	Loss 0.3604 (0.6705)	Prec@1 65.625 (58.036)	Prec@3 100.000 (89.732)	
2025-01-22 15:29:45,682 Epoch: [1][70/238]	Time 0.081 (0.153)	Data 0.009 (0.009)	Loss 0.3859 (0.6350)	Prec@1 62.500 (58.594)	Prec@3 96.875 (90.625)	
2025-01-22 15:29:46,588 Epoch: [1][80/238]	Time 0.080 (0.144)	Data 0.009 (0.009)	Loss 0.3576 (0.6041)	Prec@1 65.625 (59.375)	Prec@3 96.875 (91.319)	
2025-01-22 15:29:47,522 Epoch: [1][90/238]	Time 0.081 (0.138)	Data 0.009 (0.009)	Loss 0.3407 (0.5778)	Prec@1 71.875 (60.625)	Prec@3 96.875 (91.875)	
2025-01-22 15:29:48,437 Epoch: [1][100/238]	Time 0.084 (0.132)	Data 0.009 (0.009)	Loss 0.2851 (0.5512)	Prec@1 75.000 (61.932)	Prec@3 100.000 (92.614)	
2025-01-22 15:29:49,369 Epoch: [1][110/238]	Time 0.080 (0.128)	Data 0.009 (0.009)	Loss 0.3469 (0.5342)	Prec@1 71.875 (62.760)	Prec@3 96.875 (92.969)	
