2025-01-20 21:03:03,334 Test: [6/60]	Model Time 0.044 (0.256)	Loss Time 0.000 (0.000)	Loss 0.1670 (0.1962)	Prec@1 81.250 (84.821)	Prec@3 100.000 (99.554)	
2025-01-20 21:03:03,383 Test: [7/60]	Model Time 0.040 (0.229)	Loss Time 0.000 (0.000)	Loss 0.3892 (0.2203)	Prec@1 78.125 (83.984)	Prec@3 100.000 (99.609)	
2025-01-20 21:03:03,437 Test: [8/60]	Model Time 0.045 (0.208)	Loss Time 0.000 (0.000)	Loss 0.2350 (0.2220)	Prec@1 75.000 (82.986)	Prec@3 100.000 (99.653)	
2025-01-20 21:03:03,485 Test: [9/60]	Model Time 0.038 (0.191)	Loss Time 0.000 (0.000)	Loss 0.2028 (0.2200)	Prec@1 87.500 (83.438)	Prec@3 100.000 (99.688)	
2025-01-20 21:03:03,543 Test: [10/60]	Model Time 0.050 (0.179)	Loss Time 0.000 (0.000)	Loss 0.1321 (0.2121)	Prec@1 84.375 (83.523)	Prec@3 100.000 (99.716)	
2025-01-20 21:03:03,590 Test: [11/60]	Model Time 0.038 (0.167)	Loss Time 0.000 (0.000)	Loss 0.1703 (0.2086)	Prec@1 90.625 (84.115)	Prec@3 100.000 (99.740)	
2025-01-20 21:03:03,646 Test: [12/60]	Model Time 0.047 (0.158)	Loss Time 0.000 (0.000)	Loss 0.1576 (0.2047)	Prec@1 87.500 (84.375)	Prec@3 100.000 (99.760)	
2025-01-20 21:03:03,698 Test: [13/60]	Model Time 0.043 (0.149)	Loss Time 0.000 (0.000)	Loss 0.2159 (0.2055)	Prec@1 75.000 (83.705)	Prec@3 100.000 (99.777)	
2025-01-20 21:03:03,752 Test: [14/60]	Model Time 0.045 (0.143)	Loss Time 0.000 (0.000)	Loss 0.1861 (0.2042)	Prec@1 81.250 (83.542)	Prec@3 100.000 (99.792)	
2025-01-20 21:03:03,804 Test: [15/60]	Model Time 0.044 (0.136)	Loss Time 0.000 (0.000)	Loss 0.1141 (0.1985)	Prec@1 90.625 (83.984)	Prec@3 100.000 (99.805)	
2025-01-20 21:03:03,855 Test: [16/60]	Model Time 0.043 (0.131)	Loss Time 0.000 (0.000)	Loss 0.1475 (0.1955)	Prec@1 90.625 (84.375)	Prec@3 100.000 (99.816)	
2025-01-20 21:03:03,909 Test: [17/60]	Model Time 0.045 (0.126)	Loss Time 0.000 (0.000)	Loss 0.1992 (0.1957)	Prec@1 84.375 (84.375)	Prec@3 100.000 (99.826)	
2025-01-20 21:03:03,962 Test: [18/60]	Model Time 0.039 (0.121)	Loss Time 0.000 (0.000)	Loss 0.1990 (0.1959)	Prec@1 78.125 (84.046)	Prec@3 100.000 (99.836)	
2025-01-20 21:03:04,015 Test: [19/60]	Model Time 0.044 (0.118)	Loss Time 0.000 (0.000)	Loss 0.2462 (0.1984)	Prec@1 81.250 (83.906)	Prec@3 100.000 (99.844)	
2025-01-20 21:03:04,065 Test: [20/60]	Model Time 0.040 (0.114)	Loss Time 0.000 (0.000)	Loss 0.2456 (0.2007)	Prec@1 81.250 (83.780)	Prec@3 100.000 (99.851)	
2025-01-20 21:03:04,119 Test: [21/60]	Model Time 0.045 (0.111)	Loss Time 0.000 (0.000)	Loss 0.1612 (0.1989)	Prec@1 87.500 (83.949)	Prec@3 100.000 (99.858)	
2025-01-20 21:03:04,165 Test: [22/60]	Model Time 0.037 (0.108)	Loss Time 0.000 (0.000)	Loss 0.1574 (0.1971)	Prec@1 84.375 (83.967)	Prec@3 100.000 (99.864)	
2025-01-20 21:03:04,218 Test: [23/60]	Model Time 0.044 (0.105)	Loss Time 0.000 (0.000)	Loss 0.2968 (0.2012)	Prec@1 84.375 (83.984)	Prec@3 96.875 (99.740)	
2025-01-20 21:03:04,267 Test: [24/60]	Model Time 0.039 (0.102)	Loss Time 0.000 (0.000)	Loss 0.1850 (0.2006)	Prec@1 87.500 (84.125)	Prec@3 100.000 (99.750)	
2025-01-20 21:03:04,320 Test: [25/60]	Model Time 0.044 (0.100)	Loss Time 0.000 (0.000)	Loss 0.1729 (0.1995)	Prec@1 81.250 (84.014)	Prec@3 100.000 (99.760)	
2025-01-20 21:03:04,367 Test: [26/60]	Model Time 0.039 (0.098)	Loss Time 0.000 (0.000)	Loss 0.1664 (0.1983)	Prec@1 81.250 (83.912)	Prec@3 100.000 (99.769)	
2025-01-20 21:03:04,427 Test: [27/60]	Model Time 0.051 (0.096)	Loss Time 0.000 (0.000)	Loss 0.1484 (0.1965)	Prec@1 90.625 (84.152)	Prec@3 100.000 (99.777)	
